Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
Fresno Police Department,Fresno,,2017-05-19 14:32:00,Child Sexual Exploitation,,,,Business,Google and Dropbox,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2007-05-23 00:00:00,2017-03-30 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Gilroy Police Department/REACT Task Force,Santa Clara,,2017-05-15 09:23:00,Victim was in the process of purchasing a rental property. Unknown suspects posed as the lender and had the victim wire the down payment to a bank account. Victim later found the account was fraudulent. ,,,,Business,Google (Gmail),"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-01 00:00:00,2017-05-10 00:00:00,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery, ,No, ,eswn2017.xlsx,2017
Santa Maria Police Department,Santa Barbara,,2017-05-09 12:11:00,311.11 PC,,,,Business,"Google, Comcast, Facebook, T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-01 00:00:00,2017-05-02 00:00:00,"tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
",lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
San Diego County Sheriff's Department,San Diego,,2017-05-05 09:17:00,Victim's personal information was stolen and used in an attempt to open up credit by the suspect.,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
",2017-04-19 00:00:00,2017-07-19 00:00:00,"was stolen or embezzled
was used as the means of committing a felony
", ,No, ,eswn2017.xlsx,2017
California Highway Patrol,Santa Clara,,2017-05-04 16:18:00,"Records or information concerning your electronic communication named in the search warrant was sought by the Regional Enforcement Allied Computer Team pursuant to a search warrant issued on 05/04/2017 in Santa Clara County._x000D_
 These records were requested for a criminal investigation pertaining to identity theft in conjunction with computer based fraud that occurred within Santa Clara County during the late 2016 and earl 2017.  These records sought involve subscriber information, financial/billing records, electronic communication, stored data,_x000D_
 connection logs, and transaction records, with my searching for records that specifically relate to the above mentioned_x000D_
 investigation.",,,,Business,"Verizon, Comcast, and Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-09-01 00:00:00,2017-05-01 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,eswn2017.xlsx,2017
San Luis Obispo County Sheriff's Office,San Luis Obispo,,2017-05-09 08:08:00,Attempt grand theft,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
",2017-02-22 00:00:00,2017-02-22 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Los Angeles Police Department,Los Angeles,,2017-05-02 09:11:00,Unauthorized Computer Access case.  Suspect notifications came from IP addresses listed in the warrant.,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Reverse IP Lookup, connected IP, and linked accounts
",2017-01-10 00:00:00,2017-01-16 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
Auburn Police Department,Placer,,2017-04-28 10:27:00,Unknown suspect had attempted to open a fraudulent credit card in my victims name. The same unknown person also filed for taxes in my victims name. The unknown suspect had used a gmail account which was associated with a phone number. With the issuance of the warrant I am hoping to obtain additional information on the identity of my suspect.,,,,Business,Google.com,Basic subscriber information from a service provider,2017-01-19 00:00:00,2017-01-19 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
",lead to destruction of or tampering with evidence,No, ,eswn2017.xlsx,2017
Los Angeles Police Department,Los Angeles,,2017-04-26 15:39:00,Murder Investigation,,,,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-11-15 00:00:00,2017-01-17 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2017.xlsx,2017
California Highway Patrol,Santa Clara,,2017-04-20 15:19:00,"The nature of the government investigation given rise to the search warrant:  _x000D_
Records or information concerning your electronic communication named in the search warrant was sought by the Regional Enforcement Allied Computer Team pursuant to a search warrant issued on 04/20/2017 in Santa Clara County._x000D_
 These records were requested for a criminal investigation pertaining criminal conspiracy in conjunction with computer based fraud that occurred within Santa Clara County during the first portion of 2017._x000D_
 These records sought involve subscriber information, financial/billing records, electronic communication, stored data,_x000D_
 connection logs, and transaction records, with my searching for records that specifically relate to the above mentioned_x000D_
 investigation.",,,,Business,Google and Talktone,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-01 00:00:00,2017-04-20 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,eswn2017.xlsx,2017
